id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
97,210560,2105609,Joselândia,21012,Presidente Dutra,2102,Leste,"[-44.70037,-4.96747]",-44.7003,-4.9674
98,210565,2105658,Junco do Maranhão,21019,Zé Doca,2101,Norte,"[-46.09238,-1.84445]",-46.0923,-1.8444
99,210570,2105708,Lago da Pedra,21010,Pedreiras,2102,Leste,"[-45.13238,-4.57046]",-45.1323,-4.5704
100,210580,2105807,Lago do Junco,21010,Pedreiras,2102,Leste,"[-45.04938,-4.60946]",-45.0493,-4.6094
101,210594,2105948,Lago dos Rodrigues,21010,Pedreiras,2102,Leste,"[-44.98038,-4.60946]",-44.9803,-4.6094
102,210590,2105906,Lago Verde,21002,Bacabal,2101,Norte,"[-44.82237,-3.95746]",-44.8223,-3.9574
103,210592,2105922,Lagoa do Mato,21015,São João dos Patos,2103,Leste,"[-43.52637,-6.04747]",-43.5263,-6.0474
104,210596,2105963,Lagoa Grande do Maranhão,21010,Pedreiras,2102,Leste,"[-45.33038,-4.81347]",-45.3303,-4.8134
105,210598,2105989,Lajeado Novo,21008,Imperatriz,2103,Sul,"[-47.03539,-6.18947]",-47.0353,-6.1894
106,210600,2106003,Lima Campos,21010,Pedreiras,2102,Leste,"[-44.46737,-4.52046]",-44.4673,-4.5204
107,210610,2106102,Loreto,21003,Balsas,2103,Sul,"[-45.14138,-7.08448]",-45.1413,-7.0844
108,210620,2106201,Luís Domingues,21019,Zé Doca,2101,Norte,"[-45.87338,-1.26844]",-45.8733,-1.2684
109,210630,2106300,Magalhães de Almeida,21006,Chapadinha,2101,Norte,"[-42.20436,-3.39646]",-42.2043,-3.3964
110,210632,2106326,Maracaçumé,21019,Zé Doca,2101,Norte,"[-45.95938,-2.04345]",-45.9593,-2.0434
111,210635,2106359,Marajá do Sena,21002,Bacabal,2101,Norte,"[-45.57738,-4.59946]",-45.4550,-4.6216
112,210637,2106375,Maranhãozinho,21019,Zé Doca,2101,Norte,"[-45.85138,-2.24145]",-45.8513,-2.2414
113,210640,2106409,Mata Roma,21006,Chapadinha,2101,Norte,"[-43.11136,-3.62546]",-43.1113,-3.6254
114,210650,2106508,Matinha,21018,Viana,2101,Norte,"[-45.03438,-3.10145]",-45.0343,-3.1014
115,210660,2106607,Matões,21017,Timon,2102,Leste,"[-43.19936,-5.51947]",-43.1993,-5.5194
116,210663,2106631,Matões do Norte,21009,Itapecuru-Mirim,2101,Norte,"[-44.55637,-3.63246]",-44.5563,-3.6324
117,210667,2106672,Milagres do Maranhão,21006,Chapadinha,2101,Norte,"[-42.60936,-3.58146]",-42.6093,-3.5814
118,210670,2106706,Mirador,21015,São João dos Patos,2103,Leste,"[-44.36337,-6.37148]",-44.3633,-6.3714
119,210675,2106755,Miranda do Norte,21009,Itapecuru-Mirim,2101,Norte,"[-44.58437,-3.56946]",-44.5843,-3.5694
120,210680,2106805,Mirinzal,21011,Pinheiro,2101,Norte,"[-44.78437,-2.06545]",-44.7843,-2.0654
121,210690,2106904,Monção,21014,Santa Inês,2101,Norte,"[-45.25138,-3.49246]",-45.2513,-3.4924
122,210700,2107001,Montes Altos,21008,Imperatriz,2103,Sul,"[-47.06739,-5.83147]",-47.0673,-5.8314
123,210710,2107100,Morros,21013,Rosário,2101,Norte,"[-44.03937,-2.86445]",-44.0393,-2.8644
124,210720,2107209,Nina Rodrigues,21009,Itapecuru-Mirim,2101,Norte,"[-43.90537,-3.46646]",-43.9053,-3.4664
125,210725,2107258,Nova Colinas,21003,Balsas,2103,Sul,"[-46.25739,-7.11648]",-46.2573,-7.1164
126,210730,2107308,Nova Iorque,21015,São João dos Patos,2103,Leste,"[-44.04437,-6.73448]",-44.0443,-6.7344
127,210735,2107357,Nova Olinda do Maranhão,21019,Zé Doca,2101,Norte,"[-45.69538,-2.84745]",-45.6953,-2.8474
128,210740,2107407,Olho DÁgua das Cunhãs,21002,Bacabal,2101,Norte,,-45.0712,-4.0820
129,210745,2107456,Olinda Nova do Maranhão,21018,Viana,2101,Norte,"[-44.99738,-2.99845]",-44.9973,-2.9984
130,210750,2107506,Paço do Lumiar,21016,São Luís,2101,Norte,"[-44.10837,-2.53245]",-44.1083,-2.5324
131,210760,2107605,Palmeirândia,21018,Viana,2101,Norte,"[-44.89537,-2.64545]",-44.8953,-2.6454
132,210770,2107704,Paraibano,21015,São João dos Patos,2103,Leste,"[-43.98437,-6.43348]",-43.9843,-6.4334
133,210780,2107803,Parnarama,21017,Timon,2102,Leste,"[-43.09336,-5.68247]",-43.0933,-5.6824
134,210790,2107902,Passagem Franca,21015,São João dos Patos,2103,Leste,"[-43.78437,-6.18047]",-43.7843,-6.1804
135,210800,2108009,Pastos Bons,21015,São João dos Patos,2103,Leste,"[-44.07737,-6.60248]",-44.0773,-6.6024
136,210805,2108058,Paulino Neves,21006,Chapadinha,2101,Norte,"[-42.53336,-2.71945]",-42.5333,-2.7194
137,210810,2108108,Paulo Ramos,21002,Bacabal,2101,Norte,"[-45.23938,-4.44546]",-45.2393,-4.4454
138,210820,2108207,Pedreiras,21010,Pedreiras,2102,Leste,"[-44.59737,-4.57446]",-44.5973,-4.5744
139,210825,2108256,Pedro do Rosário,21011,Pinheiro,2101,Norte,"[-45.34938,-2.97345]",-45.3493,-2.9734
140,210830,2108306,Penalva,21018,Viana,2101,Norte,"[-45.17438,-3.29446]",-45.1743,-3.2944
